k,Rayyan ID,Title,Year,Species (Latin),Species (English),Genetic line (if applicable),Order,Family,Recording location,Group context,Juveniles present?,Number of animals,Number of vocalizations (total recorded),Number of vocalizations (included in analysis),Call classification,Full repertoire analysed?,"Repertoire size (hand, total)","Repertoire size (hand, juvenile) - indicate how many calls of total repertoire are juvenile ",Repertoire size (automated),Graded vs discrete (do authors mention reportoire is graded?),Data availability,Notes,Preselected non-noisy calls,Spectrogram type,FFT size,Window type,Overlap (%),Bandpass filtered,High pass freq threshold,Low pass freq threshold ,Notes (preprocess),Package,Number of features,Multi-unit calls?,Characteristics general,Syllables/units,Repeated measurements at multiple locations in call?,PRAAT measures,AvisoftSAS Lab Pro measurements,Raven Pro measurements,warblR measurements,Custom features,Custom measurement of:,Notes call features,Language,analysis_methods,Analysis based on:,Notes analysis,Open access,License,Done?,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,notes,doi,keywords,pubmed_id,pmc_id,PDF files,n_animals,n_recs_analysed,juvenile,rep_size
24/08/2025 06:22:52,rayyan-305067105,Vocal Repertoire and Intraspecific Variation within Two Loud Calls of the Small-Eared Greater Galago (Otolemur garnettii) in Tanzania and Kenya.,2019,Otolemur garnettii,small-eared greater galago,,Primates,Galagidae,field,group,Unknown,not reported,,1626,Hand,Yes,11,,,No,No,"2 subspecies: O. g. panganiensis, O. g. kikuyuensis",yes,,1023,Hamming,not reported,No,,,,Avisoft SASlab pro,7,Some,duration,"unit duration, inter unit interval, number of units",,,"min frequency, max frequency",,,peak harmonic,formants,,not specified,,,,No,,x,rayyan-305067105,Vocal Repertoire and Intraspecific Variation within Two Loud Calls of the Small-Eared Greater Galago (Otolemur garnettii) in Tanzania and Kenya.,2019,,,Folia Primatologica; International Journal Of Primatology,1421-9980 (Electronic),90.0,5.0,319-335,Bettridge CM and Kenworthy SP and Butynski TM and de Jong YA and de Kort SR,https://pubmed.ncbi.nlm.nih.gov/31416067/,eng,,Netherlands,"RAYYAN-INCLUSION: {""Dori""=>""Included""}",10.1159/000500260,"Animals;Galagidae/classification/*physiology;Kenya;Tanzania;*Vocalization, Animal",31416067,,,-1,1626,0.0,11
24/08/2025 06:44:20,rayyan-305067116,Vocal Repertoire of Wild Blonde Capuchins (Sapajus flavius) and Contextual Use of Calls,2015,Sapajus ﬂavius,blond capuchin,,Primates,Cebidae,field,group,Yes,129,,8373,Hand,Yes,29,2.0,,No,No,"Vocalizers for some types could not be ascertains, so could be more juvenile calls",yes,,1024,Hanning/Hann,not reported,No,,,,BatSound,12,Some,duration,number of units,,,,,,"peak frequency, max f0, min f0, f0 bandwidth, start f0, end f0, time to max f0, time max to end f0, number of harmonics, frequency interval from the highest frequency of the first harmonic to the lowest frequency of the second harmonic","F0, peak frequency, formants",,SPSS,DFA,features,,No,,x,rayyan-305067116,Vocal Repertoire of Wild Blonde Capuchins (Sapajus flavius) and Contextual Use of Calls.,2015,6.0,,American Journal Of Primatology,1098-2345 (Electronic),77.0,6.0,605-17,Bastos M and Souto A and Jones G and Eason P and Bione C and Schiel N and Bezerra B,https://pubmed.ncbi.nlm.nih.gov/26158127/,eng,,United States,"RAYYAN-INCLUSION: {""Dori""=>""Included""}",10.1002/ajp.22384,"Age Factors;Animals;Brazil;Cebus/*physiology;Endangered Species;Feeding Behavior;Female;Male;*Vocalization, Animal",26158127,,,129,8373,2.0,29
22/10/2025 20:32:28,rayyan-305067129,Preliminary vocal repertoire and vocal communication of wild bonobos (Pan paniscus) at Lilungu (Democratic Republic of Congo).,1999,Pan paniscus,bonobo,,Primates,Hominidae,field,group,Yes,68,,not reported,Hand,Yes,15,,,No,No,,,,,,,,,,,not reported,2,,duration,,,,,,,frequency measures,,,not specified,,,,No,,x,rayyan-305067129,Preliminary vocal repertoire and vocal communication of wild bonobos (Pan paniscus) at Lilungu (Democratic Republic of Congo).,1999,11.0,,Folia Primatologica; International Journal Of Primatology,0015-5713 (Print),70.0,6.0,328-57,Bermejo M and Omedes A,https://pubmed.ncbi.nlm.nih.gov/10640882/,eng,,Netherlands,"RAYYAN-INCLUSION: {""Dori""=>""Included""}",10.1159/000021717,"Animals;Behavior, Animal;Democratic Republic of the Congo;Female;Male;Pan paniscus/*physiology;Vocalization, Animal/*physiology",10640882,,,68,-1,0.0,15
17/08/2025 22:28:40,rayyan-305067163,"The vocal repertoire in a solitary foraging carnivore, Cynictis penicillata, may reflect facultative sociality.",2009,Cynictis penicillata,yellow mongoose,,Carnivora,Herpestidae,field,group,Yes,unclear,,377,Hand,Yes,10,,,No,No,,yes,,512,Hamming,87.5,Highpass,200.0,,Highpass applied for wind noise,Avisoft-SASLab Pro,10,Some,duration,,,,"peak frequency, fundamental frequency, bandwidth, Q25, Q50, Q75, entropy",,,"time to max (%), PF start",peak frequency,,not specified,DFA,features,language not noted,No,,x,rayyan-305067163,"The vocal repertoire in a solitary foraging carnivore, Cynictis penicillata, may reflect facultative sociality.",2009,5.0,,Die Naturwissenschaften,1432-1904 (Electronic),96.0,5.0,575-84,Le Roux A and Cherry MI and Manser MB,https://pubmed.ncbi.nlm.nih.gov/19247627/,eng,,Germany,"RAYYAN-INCLUSION: {""Dori""=>""Included""}",10.1007/s00114-008-0506-5,"Acoustics;Aggression;Animals;Botswana;Ecosystem;Fear;Feeding Behavior/*physiology;Female;Herpestidae/*physiology/psychology;Male;Sexual Behavior, Animal;*Social Behavior;Sound;Vocalization, Animal/*physiology",19247627,,,-1,377,0.0,10
24/08/2025 05:25:47,rayyan-305067190,Roaring high and low: composition and possible functions of the Iberian stag's vocal repertoire.,2013,Cervus elaphus hispanicus,Iberian stag,,Artiodactyla,Cervidae,field,group,No,13,,334,Automated,No,,,4,No,No,"For the purpose of the detailed acoustic comparisons between call types and between individuals, we extracted and analysed a smaller set of 82 bouts (144 calls) from 6 males recorded at closer distances (ranging from 49 m to 106 m)",,,1323,Gaussian,,No,,,,Praat,20,All,duration,"unit duration, Number of units into bout, position in bout",,"mean F0, max F0, min F0, range F0",,,,"occurence of deterministic chaos, centre of first 8 formants, formant dispersion, estimated vocal tract length, relative intensite of call (dB)","formants, amplitude",,R,"DFA, agglomerative hierarchical clustering, LMM",features,,Yes,CC BY 4.0,x,rayyan-305067190,Roaring high and low: composition and possible functions of the Iberian stag's vocal repertoire.,2013,,,Plos One,1932-6203 (Electronic),8.0,5.0,e63841,Passilongo D and Reby D and Carranza J and Apollonio M,https://pubmed.ncbi.nlm.nih.gov/23667678/,eng,,United States,"RAYYAN-INCLUSION: {""Dori""=>""Included""}",10.1371/journal.pone.0063841,"Animals;*Biological Evolution;Cluster Analysis;Deer/*physiology;Linear Models;Male;Selection, Genetic;Sexual Behavior, Animal/*physiology;Sound Spectrography;Spain;Species Specificity;Vocalization, Animal/classification/*physiology",23667678,PMC3648515,,13,334,0.0,
06/10/2025 21:47:42,rayyan-305067201,Vocal communication in a complex multi-level society: constrained acoustic structure and flexible call usage in Guinea baboons.,2013,Papio papio,Guinea baboon,,Primates,Cercopithecidae,field,group,Unknown,30,4420.0,1215,"Hand, Automated",Yes,5,,6,No,No,,yes,,1024,Hanning/Hann,96.4,No,,,,LMA,9,No,duration,,,,,,,Distribution of frequency amplitudes; Modulation of the first dominant frequency band; bandwidth; Trend of the peak frequency; Consistency of time segments; mean F0; Noisiness (% non-harmonic); HNR,F0,,SPSS,"DFA, two-step clustering",features,,Yes,CC BY 2.0,x,rayyan-305067201,Vocal communication in a complex multi-level society: constrained acoustic structure and flexible call usage in Guinea baboons.,2013,9.0,23.0,Frontiers In Zoology,1742-9994 (Print),10.0,1.0,58,Maciej P and Ndao I and Hammerschmidt K and Fischer J,https://pubmed.ncbi.nlm.nih.gov/24059742/,eng,,England,"RAYYAN-INCLUSION: {""Dori""=>""Included""}",10.1186/1742-9994-10-58,,24059742,PMC3849383,,30,1215,0.0,5
10/10/2025 07:41:36,rayyan-305067210,The vocal repertoire of adult male blue monkeys (Cercopithecus mitis stulmanni): a quantitative analysis of acoustic structure.,2014,Cercopithecus mitis stulmanni,blue monkey,,Primates,Cercopithecidae,field,group,Unknown,32,1171.0,772,Hand,No,6,,,Yes,No,only males,yes,,1024,Hanning/Hann,,No,,,,Raven Pro,18,Some,duration,"inter unit interval, number of units",3-7 location for formant,,,"max/peak frequency, center frequency",,"start F0; middle F0; end F0; rise time; min F0; max F0; start F0; middle F0, end F0; total slope F0; first half slope F0; second half slope F0; DF1-F0; DF2-DF1","F0, formants",,R,"DFA, PCA, agglomerative hierarchical clustering",features,,No,,x,rayyan-305067210,The vocal repertoire of adult male blue monkeys (Cercopithecus mitis stulmanni): a quantitative analysis of acoustic structure.,2014,3.0,,American Journal Of Primatology,1098-2345 (Electronic),76.0,3.0,203-16,Fuller JL,https://pubmed.ncbi.nlm.nih.gov/24130044/,eng,,United States,"RAYYAN-INCLUSION: {""Dori""=>""Included""}",10.1002/ajp.22223,"Acoustics;Animals;Behavior, Animal;Cercopithecus/*physiology;Cluster Analysis;Discriminant Analysis;Kenya;Male;Principal Component Analysis;Sound Spectrography/veterinary;*Speech Acoustics;Tape Recording;Vocalization, Animal/*classification/*physiology",24130044,,,32,772,0.0,6
10/10/2025 15:52:01,rayyan-305067231,"Sahamalaza Sportive Lemur, Lepilemur sahamalaza, Vocal Communication: Call Use, Context and Gradation.",2019,Lepilemur sahamalaza,Sahamalaza sportive lemurs,,Primates,Lepilemuridae,field,group,Unknown,,,698,Hand,Yes,12,,,Yes,No,"17 collared individuals, further ad libitum included",yes,,1024,Flattop,87.5,Highpass,50.0,,,Avisoft-SASLab Pro,24,Some,duration,"inter unit interval, number of units",start; end; mean; maximum,,"peak frequency, min frequency, max frequency, bandwidth, Q50",,,"start PF - max PF; end PF - max PF; modulation coefficient; structure (tonal, etc)",,,not specified,"DFA, PCA, hierarchical clustering",features,,No,,x,rayyan-305067231,"Sahamalaza Sportive Lemur, Lepilemur sahamalaza, Vocal Communication: Call Use, Context and Gradation.",2019,,,Folia Primatologica; International Journal Of Primatology,1421-9980 (Electronic),90.0,5.0,336-360,Mandl I and Schwitzer C and Holderied M,https://pubmed.ncbi.nlm.nih.gov/31416066/,eng,,Netherlands,"RAYYAN-INCLUSION: {""Dori""=>""Included""}",10.1159/000493939,"Animals;Female;Madagascar;Male;Strepsirhini/*physiology;*Vocalization, Animal",31416066,,,,698,0.0,12
11/10/2025 20:26:01,rayyan-305067274,"Comparative study of vocal communication in two Asian leaf monkeys, Presbytis johnii and Presbytis entellus.",1989,Presbytis johnii,Nilgiri langur,,Primates,Cercopithecidae,field,group,Yes,57,,651,Hand,Yes,18,1.0,,Yes,No,,,,,,,,,,,non reported,5,Some,,,,,,,,Mean F0; F0 modulation; bandwidth (including harmonics); number of peaks; difference between highest and lowest peak F0,F0,,not specified,,,,No,,x,rayyan-305067274,"Comparative study of vocal communication in two Asian leaf monkeys, Presbytis johnii and Presbytis entellus.",1989,,,Folia Primatologica; International Journal Of Primatology,0015-5713 (Print),52.0,1.0,27-57,Hohmann G,https://pubmed.ncbi.nlm.nih.gov/2807093/,eng,,Netherlands,"RAYYAN-INCLUSION: {""Dori""=>""Included""}",10.1159/000156380,"Age Factors;Animals;Cercopithecidae/*physiology;Female;India;Male;Sex Characteristics;*Vocalization, Animal",2807093,,,57,651,1.0,18
11/10/2025 22:39:38,rayyan-305067281,Social vocalizations of big-footed myotis (Myotis macrodactylus) during foraging.,2019,Myotis macrodactylus,big-footed myotis,,Chiroptera,Vespertilionidae,field,group,Unknown,,,3619,Hand,No,8,,,No,No,,yes,,1024,,93.75,No,,,,Avisoft-SASLab Pro,10,No,duration,,,,"peak frequency, min frequency, max frequency, bandwidth, Q25, Q50, Q75",,,start freq; end freq,,,SPSS,"DFA, PCA",features,,No,,x,rayyan-305067281,Social vocalizations of big-footed myotis (Myotis macrodactylus) during foraging.,2019,9.0,,Integrative Zoology,1749-4877 (Electronic),14.0,5.0,446-459,Guo D and Luo B and Zhang K and Liu M and Metzner W and Liu Y and Feng J,https://pubmed.ncbi.nlm.nih.gov/30585415/,eng,,Australia,"RAYYAN-INCLUSION: {""Dori""=>""Included""}",10.1111/1749-4877.12367,"Acoustics;Animals;Chiroptera/*physiology;*Feeding Behavior;*Social Behavior;Vocalization, Animal/*physiology",30585415,,,,3619,0.0,8
12/10/2025 20:28:24,rayyan-305067326,The role of vocal tract filtering in identity cueing in rhesus monkey (Macaca mulatta) vocalizations,1998,Macaca mulatta,rhesus monkey,,Primates,Cercopithecidae,field,group,Unknown,unclear,,2060,Hand,No,4,,,No,No,,,,1024,Hamming,,Lowpass,,10000.0,,CANARY,15,Some,duration,"unit duration, inter unit interval, number of units",,,,,,"peak time; min F0; max F0; start F0, middle F0; end F0; F0 slope; end/start F0; end/middle F0; middle/begin F0; max/min F0; middle/max F0",F0,,Interactive Laboratory System; NCSS,"LDA, linear predictive coding",spectrogram,,No,,x,rayyan-305067326,The role of vocal tract filtering in identity cueing in rhesus monkey (Macaca mulatta) vocalizations.,1998,1.0,,The Journal Of The Acoustical Society Of America,0001-4966 (Print),103.0,1.0,602-14,Rendall D and Owren MJ and Rodman PS,https://pubmed.ncbi.nlm.nih.gov/9440345/,eng,,United States,"RAYYAN-INCLUSION: {""Dori""=>""Included""}",10.1121/1.421104,"Acoustics;Animals;Macaca mulatta/physiology;Sound Spectrography;Vocal Cords/*physiology;Vocalization, Animal/*physiology",9440345,,,-1,2060,0.0,4
13/10/2025 22:00:40,rayyan-305067332,The use of Vocalizations of the Sambirano Mouse Lemur (Microcebus sambiranensis) in an Acoustic Survey of Habitat Preference.,2017,Microcebus sambiranensis,Sambirano mouse lemur,,Primates,Cheirogaleidae,field,group,Unknown,,,71,Hand,Yes,5,,,No,Upon request,,yes,,,,,,,,nothing reported,Avisoft-SASLab Pro,15,Some,duration,inter unit interval,mean; start; end,,"peak frequency, min frequency, max frequency, bandwidth",,,time to max PF,peak frequency,,SPSS,"DFA, PCA",features,,Yes,CC BY 4.0,x,rayyan-305067332,The use of Vocalizations of the Sambirano Mouse Lemur (Microcebus sambiranensis) in an Acoustic Survey of Habitat Preference.,2017,,,International Journal Of Primatology,0164-0291 (Print),38.0,4.0,732-750,Hending D and Holderied M and McCabe G,https://pubmed.ncbi.nlm.nih.gov/28845070/,eng,,United States,"RAYYAN-INCLUSION: {""Dori""=>""Included""}",10.1007/s10764-017-9977-6,,28845070,PMC5550550,,,71,0.0,5
